claim_id,workstream,claim,source_name,source_type,source_url,source_date,evidence_type,tier,validation_status,confidence_score,authority,traceability,recency,consistency,completeness,issue_gap,owner,action_required,last_reviewed
CVS-MLK-059,MLK,Muhammad Jailani Khamis previously switched party affiliation from PKR to UMNO (significant political history),STK-20260804-017,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-017-Muhammad-Jailani-Khamis.md,2026-08-04,Background,T2,Pending,8,1,2,2,2,1,Circumstances and timing of party switch require corroboration,DAF,Verify party switch timeline via media archives and party records,2026-08-04
CVS-MLK-060,MLK,"Khaidhirah Abu Zahar is ADUN N25 Rim (P139 Jasin) and Deputy EXCO Member (Economic Planning, Finance, Land)",STK-20260804-018,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-018-Khaidhirah-Abu-Zahar.md,2026-08-04,Position,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-061,MLK,Khaidhirah Abu Zahar is affiliated with BN/UMNO coalition,STK-20260804-018,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-018-Khaidhirah-Abu-Zahar.md,2026-08-04,Affiliation,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-062,MLK,Khaidhirah Abu Zahar won N25 Rim with majority of 1327 votes (PRN Melaka 2021 state election),STK-20260804-018,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-018-Khaidhirah-Abu-Zahar.md,2026-08-04,Electoral,T2,Pending,8,1,2,1,2,2,2021 election results require update for PRN Melaka 2026,DAF,Monitor SPR for PRN Melaka 2026 candidate list and results,2026-08-04
CVS-MLK-063,MLK,Ibrahim Durum is Speaker of Melaka State Legislative Assembly (since December 2021),STK-20260804-019,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-019-Ibrahim-Durum.md,2026-08-04,Position,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-064,MLK,Ibrahim Durum is affiliated with BN/UMNO coalition,STK-20260804-019,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-019-Ibrahim-Durum.md,2026-08-04,Affiliation,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-065,MLK,Ibrahim Durum is former ADUN Kuala Linggi (P134 Masjid Tanah area) — appointed as Speaker from outside the assembly,STK-20260804-019,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-019-Ibrahim-Durum.md,2026-08-04,Background,T2,Pending,8,1,2,2,2,1,Electoral history as ADUN Kuala Linggi — terms served and majorities unknown,DAF,Verify former ADUN tenure via Melaka State Assembly historical records,2026-08-04
CVS-MLK-066,MLK,"Hameed Mytheen Kunju Basheer is ADUN N03 Ayer Limau (P134 Masjid Tanah) and EXCO Member (Works, Infrastructure, Public Facilities, Transport)",STK-20260804-020,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-020-Hameed-Mytheen-Kunju-Basheer.md,2026-08-04,Position,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-067,MLK,Hameed Mytheen Kunju Basheer is affiliated with BN/UMNO coalition,STK-20260804-020,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-020-Hameed-Mytheen-Kunju-Basheer.md,2026-08-04,Affiliation,T2,Pending,9,1,2,2,2,2,Cross-verification with SPR/official records pending,DAF,Verify against SPR electoral roll and Parliament/State Assembly records,2026-08-04
CVS-MLK-068,MLK,Hameed Mytheen Kunju Basheer won N03 Ayer Limau with majority of 1085 votes (PRN Melaka 2021 state election),STK-20260804-020,Intelligence Dossier,file:///home/p62operator/.openclaw/workspace-mlk/02-CONSTITUENCY-INTELLIGENCE/candidate-dossiers/STK-20260804-020-Hameed-Mytheen-Kunju-Basheer.md,2026-08-04,Electoral,T2,Pending,8,1,2,1,2,2,2021 election results require update for PRN Melaka 2026,DAF,Monitor SPR for PRN Melaka 2026 candidate list and results,2026-08-04
